state,year,quarter,per_person,total_cost,prev_per_person,prev_total_cost,per_person_change,total_cost_change,abs_person_change,abs_total_cost_change
Wyoming,1996,1,389.35,5057009.0,404.13,5030533.0,-14.78,26476.0,14.78,26476.0
Idaho,1992,3,381.25,9795790.0,396.03,1.0592834E7,-14.78,-797044.0,14.78,797044.0
Rhode Island,2009,1,396.53,1.9181455E7,381.77,1.7382207E7,14.76,1799248.0,14.76,1799248.0
Connecticut,2014,4,336.88,8.3898499E7,322.14,7.9560461E7,14.74,4338038.0,14.74,4338038.0
Virginia,2006,4,326.15,7.4436448E7,311.42,7.0206581E7,14.73,4229867.0,14.73,4229867.0
Kansas,2014,4,354.16,4.4147887E7,339.44,4.3087686E7,14.72,1060201.0,14.72,1060201.0
Michigan,1991,3,399.26,1.62378188E8,413.98,1.70711035E8,-14.72,-8332847.0,14.72,8332847.0
Connecticut,2009,3,411.54,6.3235107E7,396.83,5.5759267E7,14.71,7475840.0,14.71,7475840.0
Guam,2013,2,904.7,1.3776909E7,919.4,1.3838857E7,-14.7,-61948.0,14.7,61948.0
Vermont,2023,3,334.7,1.3568622E7,320.02,1.324357E7,14.68,325052.0,14.68,325052.0
Arizona,1989,2,422.89,3.881365E7,437.56,3.8774292E7,-14.67,39358.0,14.67,39358.0
North Carolina,2016,4,359.38,2.92990206E8,344.73,2.43735691E8,14.65,4.9254515E7,14.65,4.9254515E7
Minnesota,2004,4,313.87,3.8966332E7,299.22,3.5755282E7,14.65,3211050.0,14.65,3211050.0
Guam,1994,1,823.53,3909069.0,838.17,3831930.0,-14.64,77139.0,14.64,77139.0
Rhode Island,2005,4,325.27,1.1210514E7,310.63,1.0624716E7,14.64,585798.0,14.64,585798.0
Vermont,2014,4,319.33,1.4608307E7,304.69,1.3971618E7,14.64,636689.0,14.64,636689.0
South Carolina,1997,1,345.88,4.8422736E7,360.51,5.1134472E7,-14.63,-2711736.0,14.63,2711736.0
West Virginia,2025,2,316.38,4.6394057E7,331.01,4.8498971E7,-14.63,-2104914.0,14.63,2104914.0
New Mexico,2001,3,320.3,1.9876313E7,334.93,2.0867893E7,-14.63,-991580.0,14.63,991580.0
Virgin Islands,2013,1,557.56,6548999.0,572.18,6642092.0,-14.62,-93093.0,14.62,93093.0
Virginia,1995,1,347.32,8.1807913E7,361.94,8.3911777E7,-14.62,-2103864.0,14.62,2103864.0
Idaho,2022,4,345.23,2.1155915E7,330.63,2.0085486E7,14.6,1070429.0,14.6,1070429.0
Ohio,2014,4,357.1,2.96221405E8,342.53,2.84822418E8,14.57,1.1398987E7,14.57,1.1398987E7
Arizona,2021,3,559.69,2.24241313E8,574.23,2.53460499E8,-14.54,-2.9219186E7,14.54,2.9219186E7
Florida,2014,1,328.86,6.20161289E8,343.39,6.58351657E8,-14.53,-3.8190368E7,14.53,3.8190368E7
Washington,2021,4,487.45,2.39369079E8,472.93,2.39273494E8,14.52,95585.0,14.52,95585.0
Rhode Island,1999,4,301.29,1.0136413E7,286.78,9792195.0,14.51,344218.0,14.51,344218.0
Texas,2003,1,381.73,2.63635552E8,396.23,2.61924588E8,-14.5,1710964.0,14.5,1710964.0
Iowa,2006,4,331.36,3.5137319E7,316.86,3.292294E7,14.5,2214379.0,14.5,2214379.0
North Dakota,2014,1,344.86,8657799.0,359.36,8983433.0,-14.5,-325634.0,14.5,325634.0
Wyoming,1994,4,393.27,4953408.0,378.79,4902015.0,14.48,51393.0,14.48,51393.0
Tennessee,2014,4,354.74,2.24678037E8,340.26,2.18342866E8,14.48,6335171.0,14.48,6335171.0
Guam,2016,2,766.54,1.189698E7,781.01,1.2251343E7,-14.47,-354363.0,14.47,354363.0
South Dakota,2023,4,431.43,1.5720244E7,416.98,1.4827063E7,14.45,893181.0,14.45,893181.0
California,1994,4,382.39,4.48016781E8,367.94,4.2798066E8,14.45,2.0036121E7,14.45,2.0036121E7
Hawaii,2005,4,460.04,2.1263977E7,445.59,2.0805953E7,14.45,458024.0,14.45,458024.0
Texas,1990,1,472.53,3.03934138E8,486.97,2.93685455E8,-14.44,1.0248683E7,14.44,1.0248683E7
Wyoming,2017,4,345.76,4636112.0,360.18,4830081.0,-14.42,-193969.0,14.42,193969.0
California,1999,3,378.46,2.72127408E8,392.88,2.91049102E8,-14.42,-1.8921694E7,14.42,1.8921694E7
Kentucky,2014,4,348.08,1.33377205E8,333.67,1.30066977E8,14.41,3310228.0,14.41,3310228.0
Utah,1998,3,345.86,1.1958047E7,360.26,1.2743945E7,-14.4,-785898.0,14.4,785898.0
Wyoming,1997,1,351.93,4174938.0,366.32,4328209.0,-14.39,-153271.0,14.39,153271.0
Utah,2014,1,399.94,3.6206199E7,414.33,3.7863602E7,-14.39,-1657403.0,14.39,1657403.0
Michigan,2019,1,278.69,1.83556034E8,293.07,1.8970066E8,-14.38,-6144626.0,14.38,6144626.0
Hawaii,2007,1,457.18,2.0615507E7,471.55,2.1330427E7,-14.37,-714920.0,14.37,714920.0
Nevada,2000,4,322.36,9549758.0,308.01,8917921.0,14.35,631837.0,14.35,631837.0
Maine,2020,3,385.61,3.5180987E7,399.94,3.7586195E7,-14.33,-2405208.0,14.33,2405208.0
South Dakota,2022,1,406.59,1.3760873E7,420.91,1.4238118E7,-14.32,-477245.0,14.32,477245.0
Florida,1991,1,431.86,1.64210078E8,446.18,1.58167599E8,-14.32,6042479.0,14.32,6042479.0
Iowa,2011,2,388.44,6.8800116E7,402.75,6.8447897E7,-14.31,352219.0,14.31,352219.0
Hawaii,2025,1,702.16,5.7535188E7,716.45,5.9530737E7,-14.29,-1995549.0,14.29,1995549.0
Maryland,1992,4,406.17,6.2820355E7,420.45,6.227535E7,-14.28,545005.0,14.28,545005.0
Utah,2011,2,426.48,4.8716386E7,440.76,4.9288092E7,-14.28,-571706.0,14.28,571706.0
Arkansas,2025,1,336.51,4.2757977E7,350.79,4.3727724E7,-14.28,-969747.0,14.28,969747.0
Iowa,2020,4,468.98,6.9084009E7,454.7,7.3316026E7,14.28,-4232017.0,14.28,4232017.0
Maryland,2013,4,331.37,1.34434873E8,345.64,1.39555949E8,-14.27,-5121076.0,14.27,5121076.0
Maryland,2024,3,338.01,1.29218526E8,323.75,1.24296516E8,14.26,4922010.0,14.26,4922010.0
Missouri,2007,1,328.74,9.8056258E7,342.99,1.04074152E8,-14.25,-6017894.0,14.25,6017894.0
Illinois,2022,3,470.18,5.1149176E8,484.42,5.23815992E8,-14.24,-1.2324232E7,14.24,1.2324232E7
New York,1997,1,334.54,3.05139703E8,348.77,3.29569325E8,-14.23,-2.4429622E7,14.23,2.4429622E7
Oregon,1998,2,293.57,3.3058915E7,307.79,3.469358E7,-14.22,-1634665.0,14.22,1634665.0
District of Columbia,2021,1,406.86,3.5424775E7,392.64,3.2625125E7,14.22,2799650.0,14.22,2799650.0
Rhode Island,2014,4,325.25,3.2837147E7,311.03,3.1253057E7,14.22,1584090.0,14.22,1584090.0
Minnesota,1992,4,334.23,4.2982186E7,348.45,4.5072323E7,-14.22,-2090137.0,14.22,2090137.0
Oklahoma,2023,1,524.54,1.73917027E8,510.32,1.86748896E8,14.22,-1.2831869E7,14.22,1.2831869E7
Virginia,1990,2,352.5,5.1841515E7,366.71,5.3256646E7,-14.21,-1415131.0,14.21,1415131.0
Alaska,2008,2,540.45,1.2723625E7,554.65,1.2385401E7,-14.2,338224.0,14.2,338224.0
Idaho,1990,1,418.09,8726948.0,403.91,8105839.0,14.18,621109.0,14.18,621109.0
Nebraska,2014,1,354.28,2.7638175E7,368.46,2.8988539E7,-14.18,-1350364.0,14.18,1350364.0
Georgia,1995,4,390.4,1.27238217E8,376.23,1.22256633E8,14.17,4981584.0,14.17,4981584.0
Alaska,2011,2,604.85,2.2379024E7,618.99,2.1807152E7,-14.14,571872.0,14.14,571872.0
Mississippi,1989,2,402.65,6.9456049E7,416.79,7.1616104E7,-14.14,-2160055.0,14.14,2160055.0
Montana,1991,3,394.34,9007921.0,408.47,9786101.0,-14.13,-778180.0,14.13,778180.0
Missouri,2007,4,334.39,1.02308681E8,320.27,9.6114385E7,14.12,6194296.0,14.12,6194296.0
West Virginia,2006,4,310.07,3.7082159E7,295.96,3.5074954E7,14.11,2007205.0,14.11,2007205.0
Missouri,2024,4,417.4,1.37428379E8,403.29,1.31547626E8,14.11,5880753.0,14.11,5880753.0
Ohio,2023,3,366.73,2.64582432E8,352.62,2.55352246E8,14.11,9230186.0,14.11,9230186.0
Louisiana,1996,2,412.31,1.09765342E8,398.21,1.0103646E8,14.1,8728882.0,14.1,8728882.0
Nevada,1996,2,337.1,1.5464504E7,351.18,1.641642E7,-14.08,-951916.0,14.08,951916.0
Virginia,2025,2,342.31,1.45225957E8,356.39,1.49876468E8,-14.08,-4650511.0,14.08,4650511.0
Alaska,2004,4,551.78,1.0084871E7,537.71,1.0224844E7,14.07,-139973.0,14.07,139973.0
New Hampshire,2014,1,303.81,1.643159E7,317.88,1.7261591E7,-14.07,-830001.0,14.07,830001.0
Nevada,2021,1,451.35,1.0924354E8,437.29,1.05195378E8,14.06,4048162.0,14.06,4048162.0
Maine,2011,3,367.45,4.7529031E7,353.39,4.5235688E7,14.06,2293343.0,14.06,2293343.0
Massachusetts,2006,1,249.79,5.7055203E7,263.85,5.7706801E7,-14.06,-651598.0,14.06,651598.0
Texas,2014,1,378.8,6.06412327E8,392.84,6.49279618E8,-14.04,-4.2867291E7,14.04,4.2867291E7
District of Columbia,2003,1,321.69,1.2368929E7,335.71,1.2508858E7,-14.02,-139929.0,14.02,139929.0
Idaho,1997,4,360.19,7673464.0,374.21,8477705.0,-14.02,-804241.0,14.02,804241.0
Alabama,1995,4,386.18,7.8948E7,372.17,7.5474864E7,14.01,3473136.0,14.01,3473136.0
New Mexico,2006,3,354.15,3.3679569E7,340.15,3.2508615E7,14.0,1170954.0,14.0,1170954.0
Texas,1995,4,430.82,3.94842601E8,416.84,3.81327315E8,13.98,1.3515286E7,13.98,1.3515286E7
Montana,1994,4,372.45,1.0238805E7,358.47,9848721.0,13.98,390084.0,13.98,390084.0
Guam,2018,2,710.19,1.0950943E7,724.16,1.1026165E7,-13.97,-75222.0,13.97,75222.0
Texas,1989,2,439.92,2.43113292E8,453.88,2.43588715E8,-13.96,-475423.0,13.96,475423.0
Tennessee,1992,2,383.39,1.09896234E8,397.35,1.109103E8,-13.96,-1014066.0,13.96,1014066.0
Missouri,2006,3,339.18,1.01608183E8,325.23,9.6432672E7,13.95,5175511.0,13.95,5175511.0
Connecticut,1995,4,302.16,3.0094657E7,316.1,3.1527095E7,-13.94,-1432438.0,13.94,1432438.0
Indiana,2007,4,366.0,9.549504E7,352.06,9.0158836E7,13.94,5336204.0,13.94,5336204.0
Virgin Islands,1989,3,689.42,3027819.0,675.49,2999764.0,13.93,28055.0,13.93,28055.0
Virgin Islands,2000,3,620.83,2976892.0,634.76,3173309.0,-13.93,-196417.0,13.93,196417.0
South Carolina,2024,3,404.81,1.12282759E8,390.89,1.07647241E8,13.92,4635518.0,13.92,4635518.0
Virgin Islands,2008,1,580.99,2892095.0,594.9,2950314.0,-13.91,-58219.0,13.91,58219.0
Mississippi,2014,1,344.04,1.03794489E8,357.95,1.09846334E8,-13.91,-6051845.0,13.91,6051845.0
Wyoming,2021,2,596.31,8088881.0,582.43,7950470.0,13.88,138411.0,13.88,138411.0
New Mexico,2002,4,366.84,2.6209638E7,352.96,2.4138022E7,13.88,2071616.0,13.88,2071616.0
Connecticut,1990,2,300.19,1.6166825E7,286.31,1.4954754E7,13.88,1212071.0,13.88,1212071.0
Mississippi,2024,1,379.05,7.3086917E7,392.93,7.8874563E7,-13.88,-5787646.0,13.88,5787646.0
District of Columbia,1999,3,345.93,1.2709632E7,359.8,1.3316924E7,-13.87,-607292.0,13.87,607292.0
Virgin Islands,2010,1,660.39,5284944.0,674.25,5232416.0,-13.86,52528.0,13.86,52528.0
Louisiana,2006,4,385.9,1.01592284E8,372.05,9.5850219E7,13.85,5742065.0,13.85,5742065.0
Maine,2007,4,283.87,2.3511983E7,270.02,2.2186004E7,13.85,1325979.0,13.85,1325979.0
Indiana,1993,2,399.68,7.6958348E7,413.53,7.6928045E7,-13.85,30303.0,13.85,30303.0
New Jersey,1996,1,378.49,8.8599456E7,392.33,9.1695685E7,-13.84,-3096229.0,13.84,3096229.0
North Carolina,2021,3,547.92,4.49452442E8,561.72,4.45247588E8,-13.8,4204854.0,13.8,4204854.0
Kentucky,2020,4,508.18,1.38884797E8,494.38,1.37242766E8,13.8,1642031.0,13.8,1642031.0
Arizona,2006,4,393.13,8.5900909E7,379.34,8.2508082E7,13.79,3392827.0,13.79,3392827.0
Arizona,2014,4,384.97,1.73639813E8,371.2,1.67909324E8,13.77,5730489.0,13.77,5730489.0
Maryland,2012,4,358.37,1.36177452E8,372.14,1.37623198E8,-13.77,-1445746.0,13.77,1445746.0
New Jersey,1990,3,390.11,6.0334682E7,403.87,6.1195036E7,-13.76,-860354.0,13.76,860354.0
New Jersey,2014,1,335.46,1.45836848E8,349.22,1.52079092E8,-13.76,-6242244.0,13.76,6242244.0
Connecticut,2022,1,508.56,1.10454473E8,522.31,1.1272305E8,-13.75,-2268577.0,13.75,2268577.0
Maryland,2011,1,381.36,1.23115688E8,395.1,1.22816261E8,-13.74,299427.0,13.74,299427.0
Oklahoma,2022,1,575.63,1.72518457E8,589.37,1.78478548E8,-13.74,-5960091.0,13.74,5960091.0
California,2014,4,421.03,8.71702474E8,407.32,8.40619722E8,13.71,3.1082752E7,13.71,3.1082752E7
Wisconsin,2010,3,397.81,1.35362037E8,384.1,1.2448229E8,13.71,1.0879747E7,13.71,1.0879747E7
Delaware,2024,3,362.86,2.1969313E7,376.56,2.2110872E7,-13.7,-141559.0,13.7,141559.0
New Mexico,2021,3,538.49,1.4911615E8,552.19,1.4894785E8,-13.7,168300.0,13.7,168300.0
Washington,2008,1,292.14,8.5707046E7,305.84,8.680227E7,-13.7,-1095224.0,13.7,1095224.0
South Carolina,2021,2,566.38,1.66207564E8,552.69,1.61276124E8,13.69,4931440.0,13.69,4931440.0
Indiana,2025,1,418.14,1.19127962E8,431.83,1.2518741E8,-13.69,-6059448.0,13.69,6059448.0
Tennessee,2014,1,341.81,2.23122972E8,355.48,2.3439115E8,-13.67,-1.1268178E7,13.67,1.1268178E7
South Dakota,2014,4,395.72,1.7072766E7,382.08,1.6615122E7,13.64,457644.0,13.64,457644.0
Guam,1989,3,899.51,3022697.0,913.15,3049528.0,-13.64,-26831.0,13.64,26831.0
Rhode Island,2013,2,345.82,3.4947977E7,359.45,3.6212239E7,-13.63,-1264262.0,13.63,1264262.0
Illinois,1998,4,361.17,1.29648916E8,347.54,1.28815246E8,13.63,833670.0,13.63,833670.0
Arizona,1991,1,454.81,6.117968E7,468.43,5.9462118E7,-13.62,1717562.0,13.62,1717562.0
New Mexico,1998,4,364.67,2.3650545E7,351.05,2.2615763E7,13.62,1034782.0,13.62,1034782.0
Delaware,2003,4,378.64,7993909.0,365.03,7340024.0,13.61,653885.0,13.61,653885.0
South Carolina,1990,2,413.83,3.8511514E7,427.42,3.9683295E7,-13.59,-1171781.0,13.59,1171781.0
Missouri,1994,4,376.8,8.9917774E7,363.21,8.6485602E7,13.59,3432172.0,13.59,3432172.0
Rhode Island,2013,4,329.78,3.3375913E7,343.37,3.4732554E7,-13.59,-1356641.0,13.59,1356641.0
Utah,1990,3,401.68,1.461908E7,415.26,1.5189081E7,-13.58,-570001.0,13.58,570001.0
Mississippi,2025,1,370.26,6.6867833E7,383.84,7.1098524E7,-13.58,-4230691.0,13.58,4230691.0
Florida,2000,1,292.45,1.20975488E8,306.01,1.29701451E8,-13.56,-8725963.0,13.56,8725963.0
Washington,1998,2,309.54,5.0768889E7,323.1,5.4321835E7,-13.56,-3552946.0,13.56,3552946.0
Ohio,1995,4,365.43,1.7293926E8,351.91,1.7095186E8,13.52,1987400.0,13.52,1987400.0
Georgia,2020,4,466.67,3.9063979E8,453.16,4.05087275E8,13.51,-1.4447485E7,13.51,1.4447485E7
South Carolina,1989,3,373.34,4.0821514E7,386.84,3.4930977E7,-13.5,5890537.0,13.5,5890537.0
Maryland,2011,4,367.84,1.30293658E8,381.34,1.31877097E8,-13.5,-1583439.0,13.5,1583439.0
Nevada,2001,3,301.42,1.0692089E7,314.9,1.0041115E7,-13.48,650974.0,13.48,650974.0
South Dakota,2006,3,363.0,8657753.0,376.47,9002840.0,-13.47,-345087.0,13.47,345087.0
Vermont,2005,4,288.57,6654818.0,275.1,6214220.0,13.47,440598.0,13.47,440598.0
Colorado,2014,1,374.91,8.7569266E7,388.38,8.9989753E7,-13.47,-2420487.0,13.47,2420487.0
Hawaii,1996,1,581.58,3.4071627E7,595.05,3.4606729E7,-13.47,-535102.0,13.47,535102.0
Arizona,2008,1,380.37,9.5447322E7,393.83,9.5340391E7,-13.46,106931.0,13.46,106931.0
Montana,1992,3,382.3,9898573.0,395.75,1.0407118E7,-13.45,-508545.0,13.45,508545.0
Vermont,1994,4,285.73,7861609.0,272.29,7589106.0,13.44,272503.0,13.44,272503.0
Alaska,2020,1,490.37,1.737567E7,476.95,1.7188711E7,13.42,186959.0,13.42,186959.0
Guam,2006,2,885.37,7275035.0,898.79,7385412.0,-13.42,-110377.0,13.42,110377.0
Alabama,1992,3,406.59,8.5235083E7,420.01,8.8823616E7,-13.42,-3588533.0,13.42,3588533.0
Michigan,2022,2,512.12,3.67215979E8,525.53,3.75782153E8,-13.41,-8566174.0,13.41,8566174.0
South Carolina,2001,1,308.6,3.9125105E7,322.01,4.0385991E7,-13.41,-1260886.0,13.41,1260886.0
Washington,1997,3,319.88,5.8239191E7,333.28,6.4056613E7,-13.4,-5817422.0,13.4,5817422.0
Florida,1996,1,384.31,2.2765213E8,397.7,2.392582E8,-13.39,-1.160607E7,13.39,1.160607E7
Illinois,1990,1,426.7,1.76955963E8,440.09,1.77144739E8,-13.39,-188776.0,13.39,188776.0
Vermont,2000,2,245.99,4797451.0,259.37,5183981.0,-13.38,-386530.0,13.38,386530.0
Oklahoma,2023,3,380.87,1.31394351E8,367.51,1.25623164E8,13.36,5771187.0,13.36,5771187.0
Massachusetts,2014,1,296.85,1.46057763E8,310.21,1.54616245E8,-13.36,-8558482.0,13.36,8558482.0
Virgin Islands,2000,2,634.76,3173309.0,648.1,3324336.0,-13.34,-151027.0,13.34,151027.0
Pennsylvania,2013,1,369.08,3.17602916E8,382.4,3.29997009E8,-13.32,-1.2394093E7,13.32,1.2394093E7
Hawaii,2011,1,630.86,4.9702917E7,644.18,4.9180802E7,-13.32,522115.0,13.32,522115.0
Delaware,2024,4,376.17,2.3212163E7,362.86,2.1969313E7,13.31,1242850.0,13.31,1242850.0
Michigan,1999,4,288.07,7.6001045E7,274.76,7.7597146E7,13.31,-1596101.0,13.31,1596101.0
District of Columbia,2021,4,486.71,4.3449872E7,473.4,4.037783E7,13.31,3072042.0,13.31,3072042.0
Hawaii,2023,1,1010.6,8.7603293E7,997.31,8.7891734E7,13.29,-288441.0,13.29,288441.0
Idaho,1990,3,387.51,7941225.0,400.78,8468780.0,-13.27,-527555.0,13.27,527555.0
Virgin Islands,1995,2,679.85,4987415.0,693.12,4916549.0,-13.27,70866.0,13.27,70866.0
Florida,1999,2,302.29,1.27415026E8,315.55,1.35464383E8,-13.26,-8049357.0,13.26,8049357.0
Virgin Islands,2016,2,486.5,6309080.0,499.76,6563702.0,-13.26,-254622.0,13.26,254622.0
Nebraska,2025,1,372.81,2.7825887E7,386.07,2.8969072E7,-13.26,-1143185.0,13.26,1143185.0
New Hampshire,2023,4,331.59,1.3980903E7,318.35,1.3370098E7,13.24,610805.0,13.24,610805.0
Rhode Island,2001,1,273.46,8900767.0,286.69,9296343.0,-13.23,-395576.0,13.23,395576.0
Vermont,1995,1,298.96,7912712.0,285.73,7861609.0,13.23,51103.0,13.23,51103.0
New York,1994,4,366.21,3.776596E8,352.99,3.60416087E8,13.22,1.7243513E7,13.22,1.7243513E7
Arkansas,2024,4,350.79,4.3727724E7,363.99,4.5229511E7,-13.2,-1501787.0,13.2,1501787.0
Michigan,2022,3,498.93,3.66379574E8,512.12,3.67215979E8,-13.19,-836405.0,13.19,836405.0
Georgia,1994,4,388.67,1.29220387E8,401.86,1.38638852E8,-13.19,-9418465.0,13.19,9418465.0
Texas,1990,3,446.28,3.00973693E8,459.46,3.03193133E8,-13.18,-2219440.0,13.18,2219440.0
Michigan,2023,4,344.45,2.71613974E8,331.28,2.57029065E8,13.17,1.4584909E7,13.17,1.4584909E7
North Carolina,2010,4,400.16,2.79741522E8,413.33,2.70783087E8,-13.17,8958435.0,13.17,8958435.0
Guam,2013,1,919.4,1.3838857E7,932.57,1.3690566E7,-13.17,148291.0,13.17,148291.0
Arkansas,2014,4,351.36,7.7094577E7,338.2,7.4442864E7,13.16,2651713.0,13.16,2651713.0
Arkansas,2024,1,359.03,4.6053568E7,372.19,4.8046633E7,-13.16,-1993065.0,13.16,1993065.0
Wyoming,2002,4,347.36,3464655.0,334.21,3238461.0,13.15,226194.0,13.15,226194.0
Vermont,2013,4,316.16,1.6536626E7,329.31,1.7238776E7,-13.15,-702150.0,13.15,702150.0
Texas,1991,1,463.08,3.50967816E8,476.22,3.41239109E8,-13.14,9728707.0,13.14,9728707.0
Virginia,1994,1,354.6,8.3925795E7,367.74,8.3232382E7,-13.14,693413.0,13.14,693413.0
Delaware,2002,4,370.33,6739572.0,357.2,6232514.0,13.13,507058.0,13.13,507058.0
Vermont,1989,3,238.01,3613108.0,251.14,3870024.0,-13.13,-256916.0,13.13,256916.0
Massachusetts,2009,3,359.25,1.33330104E8,372.38,1.27913458E8,-13.13,5416646.0,13.13,5416646.0
Pennsylvania,2012,4,382.4,3.29997009E8,369.28,3.20218278E8,13.12,9778731.0,13.12,9778731.0
Missouri,2024,1,414.35,1.33506974E8,427.46,1.37427993E8,-13.11,-3921019.0,13.11,3921019.0
Idaho,1992,1,403.43,1.0883581E7,416.54,1.0165155E7,-13.11,718426.0,13.11,718426.0
Idaho,1998,3,330.52,7346445.0,317.41,7977854.0,13.11,-631409.0,13.11,631409.0
Hawaii,2012,4,609.56,5.7506199E7,596.46,5.4892684E7,13.1,2613515.0,13.1,2613515.0
Wyoming,1991,1,399.15,4626854.0,412.23,4327042.0,-13.08,299812.0,13.08,299812.0
Pennsylvania,2010,4,403.94,3.18892026E8,390.86,3.00987448E8,13.08,1.7904578E7,13.08,1.7904578E7
Texas,1990,2,459.46,3.03193133E8,472.53,3.03934138E8,-13.07,-741005.0,13.07,741005.0
Virgin Islands,2015,2,506.76,6342897.0,519.83,6483176.0,-13.07,-140279.0,13.07,140279.0
Rhode Island,2023,4,342.84,3.0528925E7,329.79,2.919461E7,13.05,1334315.0,13.05,1334315.0
Pennsylvania,1994,4,355.77,1.85936187E8,342.73,1.80351367E8,13.04,5584820.0,13.04,5584820.0
New Hampshire,1995,4,318.55,7505135.0,305.52,7374561.0,13.03,130574.0,13.03,130574.0
Arizona,1989,1,437.56,3.8774292E7,450.58,3.8001774E7,-13.02,772518.0,13.02,772518.0
California,2015,2,404.57,8.52038408E8,417.59,8.71759688E8,-13.02,-1.972128E7,13.02,1.972128E7
Georgia,2002,4,368.1,1.10909274E8,355.08,9.7402322E7,13.02,1.3506952E7,13.02,1.3506952E7
Montana,1994,3,358.47,9848721.0,371.49,1.0604195E7,-13.02,-755474.0,13.02,755474.0
Ohio,1990,1,401.41,1.82968481E8,414.43,1.85089277E8,-13.02,-2120796.0,13.02,2120796.0
Arizona,1994,4,418.87,7.796446E7,405.86,7.5344721E7,13.01,2619739.0,13.01,2619739.0
Oregon,2006,4,285.84,6.3555128E7,272.84,6.0745032E7,13.0,2810096.0,13.0,2810096.0
Virginia,1994,4,361.94,8.3911777E7,348.94,7.984571E7,13.0,4066067.0,13.0,4066067.0
Texas,1989,1,453.88,2.43588715E8,466.86,2.39724697E8,-12.98,3864018.0,12.98,3864018.0
District of Columbia,2014,4,326.92,2.6641238E7,313.95,2.5418819E7,12.97,1222419.0,12.97,1222419.0
Maryland,2014,4,331.14,1.34273637E8,318.18,1.28802771E8,12.96,5470866.0,12.96,5470866.0
Kentucky,2016,2,363.02,1.09077596E8,350.06,1.09856169E8,12.96,-778573.0,12.96,778573.0
New York,2007,1,322.36,3.06746029E8,335.32,3.15539141E8,-12.96,-8793112.0,12.96,8793112.0
Maine,2021,3,479.04,4.3880002E7,492.0,4.4477152E7,-12.96,-597150.0,12.96,597150.0
Connecticut,2011,2,360.05,7.4934171E7,373.0,7.588476E7,-12.95,-950589.0,12.95,950589.0
New Jersey,2025,1,369.51,1.63123666E8,382.46,1.71590258E8,-12.95,-8466592.0,12.95,8466592.0
Kansas,2024,1,384.41,3.5330756E7,397.32,3.6531137E7,-12.91,-1200381.0,12.91,1200381.0
North Dakota,2024,1,392.11,9426519.0,405.02,9423861.0,-12.91,2658.0,12.91,2658.0
Utah,2003,1,368.6,1.4882909E7,355.71,1.3916928E7,12.89,965981.0,12.89,965981.0
Iowa,1995,4,341.98,2.5104232E7,329.09,2.4117914E7,12.89,986318.0,12.89,986318.0
Guam,1992,2,852.82,3094869.0,865.67,3092312.0,-12.85,2557.0,12.85,2557.0
District of Columbia,1992,3,350.42,1.4132934E7,363.27,1.3809386E7,-12.85,323548.0,12.85,323548.0
Florida,2006,4,303.63,1.86901563E8,290.78,1.77420152E8,12.85,9481411.0,12.85,9481411.0
Iowa,2022,1,563.61,7.8881413E7,576.46,8.0371894E7,-12.85,-1490481.0,12.85,1490481.0
Vermont,2000,1,259.37,5183981.0,272.21,5435614.0,-12.84,-251633.0,12.84,251633.0
Alaska,2010,2,649.23,2.0961846E7,662.06,2.0145869E7,-12.83,815977.0,12.83,815977.0
Florida,2006,2,287.17,1.74894422E8,299.99,1.84924587E8,-12.82,-1.0030165E7,12.82,1.0030165E7
Wisconsin,2008,3,307.75,5.9343113E7,294.94,5.4988553E7,12.81,4354560.0,12.81,4354560.0
Maryland,1997,1,356.23,5.4892932E7,369.01,5.8162722E7,-12.78,-3269790.0,12.78,3269790.0
Maine,1989,1,282.77,1.0798107E7,295.55,1.0613534E7,-12.78,184573.0,12.78,184573.0
New Hampshire,2011,2,357.6,1.9584654E7,370.37,2.0048955E7,-12.77,-464301.0,12.77,464301.0
Alabama,1996,1,373.41,7.7498141E7,386.18,7.8948E7,-12.77,-1449859.0,12.77,1449859.0
Alaska,2012,4,567.27,2.0798073E7,580.03,2.2366857E7,-12.76,-1568784.0,12.76,1568784.0
New Mexico,2017,4,322.18,7.0898363E7,334.94,7.3273647E7,-12.76,-2375284.0,12.76,2375284.0
New York,1992,3,370.24,3.25730335E8,357.48,3.09821213E8,12.76,1.5909122E7,12.76,1.5909122E7
New Jersey,1994,2,390.66,8.9714938E7,377.9,8.5816671E7,12.76,3898267.0,12.76,3898267.0
Indiana,2019,4,331.11,8.5410172E7,343.86,8.5250236E7,-12.75,159936.0,12.75,159936.0
New Hampshire,2006,4,293.04,8240038.0,280.31,7774293.0,12.73,465745.0,12.73,465745.0
Rhode Island,1993,3,318.53,1.2889195E7,331.25,1.3614991E7,-12.72,-725796.0,12.72,725796.0
Illinois,2000,2,339.58,1.22577244E8,352.29,1.25219567E8,-12.71,-2642323.0,12.71,2642323.0
West Virginia,2001,4,301.04,2.9634191E7,288.34,2.8160248E7,12.7,1473943.0,12.7,1473943.0
Tennessee,2017,3,338.63,1.70490551E8,351.33,1.78852032E8,-12.7,-8361481.0,12.7,8361481.0
New Jersey,2013,4,349.22,1.52079092E8,361.92,1.57076601E8,-12.7,-4997509.0,12.7,4997509.0
Florida,1995,1,399.54,2.33944802E8,412.22,2.48042011E8,-12.68,-1.4097209E7,12.68,1.4097209E7
